ALOO SAMOSA,15,
ONION SAMOSA,10,
CHICKEN KIZHI PARATHA,140,
MUTTON KIZHI PARATHA,190,
VEG ROLL,40,
EGG ROLL,45,
CHICKEN,50,
PLAIN BUN,10,
CREAM BUN,15,
JAM BUN,18,
BUN BUTTER JAM,25,
PEANUT BUTTER,28,
PEANUT BUTTER AND JAM,30,
IDLY,22,
VADA,22,
POORI,30,
IDIYAPPAM,30,
CHAPATI,38,
PARATHA,40,
AAPPAM,40,
PLAIN DOSA,30,
GHEE ROAST,35,
MASALA DOSA,40,
GHEE MASALA DOSA,45,
UTTAPAM,35,
PONGAL,25,
MAGGIE,27,
VEG SANDWICH,38,
EGG SANDWHICH,43,
CHOCOLATE SANDWICH,40,
PEANUT BUTTER SANDWICH,45,
NUTELLA SANDWICH,50,
HONEY TOAST,33,
JAM TOAST,33,
BUTTER TOAST,25,
VEG BURGER,53,
CHICKEN BURGER,63,
VANILLA ICE CREAM,31,
STRAWBERRY ICE CREAM,31,
CHOCOLATE ICE CREAM,35,
MANGO ICE CREAM,35,
BLACK CURRENT,38,
SPANISH DELIGHT,38,
BUTTERSCOTCH,38,
CHOCOLATE WAFFLE,90,
NUTELLA WAFFLE,90,
STRAWBERRY WAFFLE,90,
BROWNIE WITH ICE CREAM,80,
PAN n ICE,80,
CHOCO LAVA CAKE,40,
ALMOND BROWNIE,85,
GULAB JAMUN WITH ICE CREAM,48,
BLUEBERRY CHEESE CAKE,80,
CARROT HALWA,31,
BREAD HALWA,31,
CUP CAKE,15,
CHOCO CHIP COOKIES,40,
CARAMEL CUSTARD,60,
RED VELVET CAKE,90,
RAS MALAI,35,
KULFI,35,
KADDU KI KHEER,31,
TEA,10,
COFFEE,12,
SULAIMANI TEA,10,
GINGER TEA,12,
MILK,12,
LEMON TEA,12,
HORLICKS,16,
BOOST,16,
BADAM MILK,16,
SWEET LIME,32,
FRESH LIME,15,
GINGER LIME,15,
PINEAPPLE,26,
APPLE,35,
GRAPE,26,
POMEGRANATE,50,
MANGO,35,
ORANGE,35,
CHIKKU,35,
WATERMELON,26,
LIME MINT COOLER,21,
PAPAYA,26,
SHARJAH,42,
PAPAYA,40,
DATES,50,
BANANA,40,
CHIKKU,42,
APPLE,50,
AVOCADO,57,
MANGO,57,
FRESH FIG,57,
ICE CREAM MILKSHAKES,57,
MINI FALOODA,80,
ROYAL/ROSE FALOODA,100,
